kabupaten_kota,Tahun,produksi,luas_panen,produktivitas,komoditas,jenis
Karawang,2023,1131976.57,,59.87,padi,padi
Bekasi,2023,497339.49,93338.02,53.28,padi,padi
Pangandaran,2023,139300.3,30250.9,46.05,padi,padi
Kota Depok,2023,30.51,5.82,52.42,padi,padi
Kota Cimahi,2023,440.48,76.61,57.5,padi,padi
Kota Banjar,2023,31891.85,5625.24,56.69,padi,padi
Jawa Barat,2023,9140039.2,,57.71,padi,padi
Bogor,2024,299675.82,50168.52,59.73,padi,padi
Sukabumi,2024,466835.93,81612.3,57.2,padi,padi
Cianjur,2024,630847.78,,59.91,padi,padi
Bandung,2024,334188.58,51947.62,64.33,padi,padi
Garut,2024,454937.51,71635.66,63.51,padi,padi
Tasikmalaya,2024,353415.07,66324.47,53.29,padi,padi
Ciamis,2024,236248.23,44307.13,53.32,padi,padi
Kuningan,2024,223427.76,41522.97,53.81,padi,padi
Cirebon,2024,510632.02,84465.74,60.45,padi,padi
Majalengka,2024,484085.66,87220.48,55.5,padi,padi
Sumedang,2024,271869.0,49430.79,55.0,padi,padi
Indramayu,2024,1399352.12,,65.74,padi,padi
Subang,2024,968941.45,,59.12,padi,padi
Purwakarta,2024,180397.1,30629.17,58.9,padi,padi
Karawang,2024,1041530.95,,56.89,padi,padi
Bekasi,2024,416476.98,84199.55,49.46,padi,padi
Pangandaran,2024,118188.45,24131.55,48.98,padi,padi
Kota Depok,2024,32.73,5.82,56.24,padi,padi
Kota Cimahi,2024,435.34,70.93,61.38,padi,padi
Kota Banjar,2024,28913.8,4782.04,60.46,padi,padi
Jawa Barat,2024,8626879.91,,58.47,padi,padi
