kabupaten_kota,Tahun,bawang_daun,bawang_merah,bawang_putih,bayam,buncis,cabai_besar,cabai_rawit,kacang_panjang,kangkung,kentang,tomat,wortel,luas_bawang_daun,luas_bawang_merah,luas_bayam,luas_buncis,luas_cabai_besar,luas_cabai_rawit,luas_kacang_panjang,luas_kangkung,luas_kentang,luas_tomat,luas_wortel
Kota Cimahi,2024,180.0,31.6,0.0,223.0,0.0,1.12,81.56,0.0,3480.0,0.0,132.5,0.0,1.0,1.08,29.0,0.0,0.05,4.05,0.0,52.0,0.0,1.0,0.0
Kota Depok,2019,0.0,0.0,0.0,4218.0,0.0,0.0,7.0,193.0,8172.0,0.0,0.0,0.0,0.0,0.01,134.12,0.0,0.0,1.375,0.23,170.385,0.0,0.12,0.0
Kota Depok,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,134.12,0.0,0.0,1.375,0.23,170.385,0.0,0.12,0.0
Kota Depok,2021,0.0,0.0,0.0,4287.0,0.0,0.0,20.0,0.0,7542.0,0.0,0.0,0.0,0.0,0.01,147.0,0.0,0.0,1.0,0.23,187.0,0.0,0.12,0.0
Kota Depok,2022,0.0,0.0,0.0,4640.0,0.0,0.0,15.0,0.0,8012.0,0.0,0.0,0.0,0.0,0.01,142.0,0.0,0.0,1.0,0.23,181.0,0.0,0.12,0.0
Kota Depok,2023,0.0,0.0,0.0,3719.34,0.0,0.0,215.22,0.0,8832.19,0.0,0.0,0.0,0.0,0.01,126.24,0.0,0.0,4.06,0.23,159.77,0.0,0.12,0.0
Kota Depok,2024,0.0,1.6,0.0,4689.17,0.0,0.0,233.5,4.8,11659.11,0.0,38.99,0.0,0.0,0.01,114.08,0.0,0.0,1.75,0.23,150.11,0.0,0.12,0.0
Kuningan,2019,63707.0,44442.0,0.0,10.0,2644.0,7155.0,20321.0,658.0,792.0,0.0,13545.0,4700.0,205.0,302.0,0.0,5.0,96.5,183.0,4.5,2.5,3.0,47.5,15.5
Kuningan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,302.0,0.0,5.0,96.5,183.0,4.5,2.5,3.0,47.5,15.5
Kuningan,2021,48409.0,26718.0,0.0,0.0,868.0,4972.0,12814.0,11.0,648.0,540.0,9793.0,2630.0,256.0,270.0,0.0,3.0,94.0,203.0,2.0,2.0,3.0,34.0,14.0
